----- Execution time for 5 elements -----
Number	Tetranacci Value Execution time(in ns)
37	2775641472	10298
38	5350220959	8613
39	10312882481	9013
40	19878720128	11648
41	38317465040	11441
42	73859288608	11669
43	142368356257	11733
44	274423830033	12746
45	528968939938	47103
46	1019620414836	11802
47	1965381541064	12263
48	3788394725871	13054
49	7302365621709	13129
50	14075762303480	14357
51	27131904192124	12847
52	52298426843184	13585
53	100808458960497	13204
54	194314552299285	13382
55	374553342295090	14006
56	721974780398056	17467
57	1391651133952928	14339
58	2682493808945359	24968
59	5170673065591433	17837
60	9966792788887776	16837
61	19211610797377496	17478
62	37031570460802064	17460
63	71380647112658769	15635
64	137590621159726105	16857
65	265214449530564434	18991
66	511217288263751372	18428
67	985403006066700680	19886
68	1899425365020742591	18668
69	3661260108881759077	19738
70	7057305768232953720	19332
71	13603394248202156068	36398
72	26221385490337611456	20346
73	50543345615654480321	20288
74	97425431122427201565	20629
75	187793556476621449410	21977
76	361983718705040742752	20436
77	697746051919743874048	20974
78	1344948758223833267775	23530
79	2592472085325239333985	23801
80	4997150614173857218560	22790
81	9632317509642673694368	24137
82	18566888967365603514688	24992
83	35788829176507373761601	26022
84	68985186267689508189217	24198
85	132973221921205159159874	23814


----- Execution time for 90 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	910
2	0	478
3	1	1182
4	1	657
5	2	757
6	4	923
7	8	995
8	15	1168
9	29	3836
10	56	1778
11	108	4726
12	208	1901
13	401	4425
14	773	2240
15	1490	4636
16	2872	4681
17	5536	2741
18	10671	2907
19	20569	5722
20	39648	5363
21	76424	5831
22	147312	5751
23	283953	5874
24	547337	6258
25	1055026	6373
26	2033628	6756
27	3919944	8703
28	7555935	6644
29	14564533	6655
30	28074040	6979
31	54114452	7227
32	104308960	8840
33	201061985	7789
34	387559437	7936
35	747044834	9073
36	1439975216	10780
37	2775641472	8093
38	5350220959	8444
39	10312882481	11076
40	19878720128	11424
41	38317465040	11140
42	73859288608	10495
43	142368356257	11538
44	274423830033	12300
45	528968939938	11624
46	1019620414836	12252
47	1965381541064	11723
48	3788394725871	12447
49	7302365621709	12399
50	14075762303480	12856
51	27131904192124	14844
52	52298426843184	14098
53	100808458960497	16182
54	194314552299285	13999
55	374553342295090	16274
56	721974780398056	25878
57	1391651133952928	14225
58	2682493808945359	17867
59	5170673065591433	17294
60	9966792788887776	15673
61	19211610797377496	15652
62	37031570460802064	15053
63	71380647112658769	17090
64	137590621159726105	17803
65	265214449530564434	17813
66	511217288263751372	15814
67	985403006066700680	18233
68	1899425365020742591	18048
69	3661260108881759077	18713
